state,ac_no,ac_name,total_evm_votes,total_postal_votes,total_votes
Bihar,1,VALMIKI NAGAR,232960,672,233632
Bihar,10,RAXAUL,214599,849,215448
Bihar,100,BARAULI,193387,790,194177
Bihar,101,GOPALGANJ,197684,1188,198872
Bihar,102,KUCHAIKOTE,201036,984,202020
Bihar,103,BHOREY,211928,1193,213121
Bihar,104,HATHUA,195395,663,196058
Bihar,105,SIWAN,190236,346,190582
Bihar,106,ZIRADEI,157678,248,157926
Bihar,107,DARAULI,174768,445,175213
Bihar,108,RAGHUNATHPUR,180514,360,180874
Bihar,109,DARAUNDA,184766,370,185136
Bihar,11,SUGAULI,197888,902,198790
Bihar,110,BARHARIA,196712,283,196995
Bihar,111,GORIAKOTHI,213113,232,213345
Bihar,112,MAHARAJGANJ,187492,318,187810
Bihar,113,EKMA,170518,525,171043
Bihar,114,MANJHI,176832,844,177676
Bihar,115,BANIAPUR,199740,678,200418
Bihar,116,TARAIYA,193153,385,193538
Bihar,117,MARHAURA,178935,573,179508
Bihar,118,CHAPRA,188542,847,189389
Bihar,119,GARKHA,202823,674,203497
Bihar,12,NARKATIA,222657,986,223643
Bihar,120,AMNOUR,169106,555,169661
Bihar,121,PARSA,180629,606,181235
Bihar,122,SONEPUR,198679,561,199240
Bihar,123,HAJIPUR,223578,1664,225242
Bihar,124,LALGANJ,238965,1240,240205
Bihar,125,VAISHALI,236388,1296,237684
Bihar,126,MAHUA,210191,1137,211328
Bihar,127,RAJA PAKAR,182677,1341,184018
Bihar,128,RAGHOPUR,237174,1274,238448
Bihar,129,MAHNAR,200413,1374,201787
Bihar,13,HARSIDHI,201982,917,202899
Bihar,130,PATEPUR,208603,937,209540
Bihar,131,KALYANPUR,239204,471,239675
Bihar,132,WARISNAGAR,234241,542,234783
Bihar,133,SAMASTIPUR,198230,635,198865
Bihar,134,UJIARPUR,229295,700,229995
Bihar,135,MORWA,196238,483,196721
Bihar,136,SARAIRANJAN,207532,657,208189
Bihar,137,MOHIUDDINNAGAR,182706,534,183240
Bihar,138,BIBHUTIPUR,195715,603,196318
Bihar,139,ROSERA,222531,618,223149
Bihar,14,GOVINDGANJ,181918,823,182741
Bihar,140,HASANPUR,204313,399,204712
Bihar,141,CHERIA - BARIARPUR,190666,650,191316
Bihar,142,BACHHWARA,221949,898,222847
Bihar,143,TEGHRA,211835,794,212629
Bihar,144,MATIHANI,245979,1173,247152
Bihar,145,SAHEBPUR KAMAL,188915,769,189684
Bihar,146,BEGUSARAI,227452,995,228447
Bihar,147,BAKHRI,206056,581,206637
Bihar,148,ALAULI,178876,571,179447
Bihar,149,KHAGARIA,182328,909,183237
Bihar,15,KESARIA,175978,705,176683
Bihar,150,BELDAUR,216721,695,217416
Bihar,151,PARBATTA,214182,873,215055
Bihar,152,BIHPUR,174164,391,174555
Bihar,153,GOPALPUR,191035,367,191402
Bihar,154,PIRPAINTI,246971,518,247489
Bihar,155,KAHALGAON,251629,354,251983
Bihar,156,BHAGALPUR,196596,550,197146
Bihar,157,SULTANGANJ,209364,450,209814
Bihar,158,NATHNAGAR,241076,424,241500
Bihar,159,AMARPUR,193740,507,194247
Bihar,16,KALYANPUR,185325,890,186215
Bihar,160,DHORAIYA,220118,575,220693
Bihar,161,BANKA,192341,470,192811
Bihar,162,KATORIA,195583,522,196105
Bihar,163,BELHAR,227532,240,227772
Bihar,164,TARAPUR,215156,602,215758
Bihar,165,MUNGER,210518,789,211307
Bihar,166,JAMALPUR,200652,770,201422
Bihar,167,SURYAGARHA,237621,886,238507
Bihar,168,LAKHISARAI,247987,833,248820
Bihar,169,SHEIKHPURA,162964,377,163341
Bihar,17,PIPRA,243696,961,244657
Bihar,170,BARBIGHA,143914,500,144414
Bihar,171,ASTHAWAN,172924,775,173699
Bihar,172,BIHARSHARIF,213924,1095,215019
Bihar,173,RAJGIR,185464,826,186290
Bihar,174,ISLAMPUR,186665,999,187664
Bihar,175,HILSA,192194,864,193058
Bihar,176,NALANDA,198864,925,199789
Bihar,177,HARNAUT,191342,820,192162
Bihar,178,MOKAMA,184384,537,184921
Bihar,179,BARH,188938,452,189390
Bihar,18,MADHUBAN,182978,846,183824
Bihar,180,BAKHTIARPUR,195683,417,196100
Bihar,181,DIGHA,195696,446,196142
Bihar,182,BANKIPUR,156647,238,156885
Bihar,183,KUMHRAR,173215,291,173506
